"s2n","Baseline_alpha","Baseline_beta","Larger threshold_alpha","Larger threshold_beta","Larger interpret_alpha","Larger interpret_beta","Larger slope_alpha","Larger slope_beta","Correlated_alpha","Correlated_beta"
1.951,0.802583022139904,-0.605631959931254,0.550548581595335,-0.498259385697333,0.615414540120045,-0.56945852202317,0.925769960531267,-0.851438074144556,-0.816593446505895,2.63331601279563
2.001,0.803650576275253,-0.607173950391158,0.554340139553054,-0.502185606302785,0.615783780531674,-0.571773710347038,0.926194216907929,-0.852512070720309,-0.796792548756838,2.58217049606962
2.051,0.806299568456964,-0.611873904269291,0.561068532766134,-0.508566987053808,0.61624150565246,-0.574382078356067,0.927701642326646,-0.854947813256727,-0.760922974407514,2.52686592721887
2.101,0.808339164684007,-0.616297870644034,0.565847134763813,-0.51399754035022,0.616536972294275,-0.575540784741668,0.928117586157963,-0.856211984649765,-0.732767964526427,2.47097163705078
2.151,0.809285367330907,-0.618686062507692,0.568012414710447,-0.516123805336721,0.616609728261619,-0.577391612495569,0.928967960135284,-0.857184465901709,-0.714425392933017,2.42260148306171
2.201,0.810930711913744,-0.621948032391603,0.57394489788856,-0.521985628921089,0.617286395379733,-0.579908350219337,0.929361067638846,-0.859124256553374,-0.686741895681663,2.37027157886974
2.251,0.813227687905799,-0.625800281690472,0.578373094241251,-0.526370225117438,0.617873356209638,-0.581490763326059,0.930565498926116,-0.860837968352814,-0.656466083676259,2.31420871089107
2.301,0.813761662256262,-0.6286167260186,0.582299273684419,-0.530884531691848,0.617223027695038,-0.58202274252817,0.93098650758698,-0.861856107555009,-0.644957541392639,2.27749745269578
2.351,0.816741877887901,-0.632681764214481,0.587934863064397,-0.536387863628766,0.618807629865042,-0.584712396476522,0.932194951262184,-0.863617806976113,-0.614571367027936,2.22982508621407
2.401,0.817888794524654,-0.635491757042794,0.590558262261708,-0.539037617144096,0.618792615665274,-0.586391858772497,0.932506064750572,-0.865649076440327,-0.590398477204663,2.17618623210803
2.451,0.819323137547004,-0.638789834045852,0.596484405765141,-0.545533659826142,0.618206550697383,-0.586275729202633,0.933680828218401,-0.866842838409931,-0.574395646114157,2.13826864456276
2.501,0.819951722923205,-0.640351655774775,0.59784227110612,-0.547131792979471,0.618686073908186,-0.588433773874111,0.933466825522372,-0.86684210893511,-0.551013803866801,2.10248057004666
2.551,0.822182679239467,-0.644024274913354,0.602490823671223,-0.551570348281386,0.619820064062014,-0.589894643935287,0.934717988033733,-0.868868486905701,-0.527403024061145,2.05384417313013
2.601,0.82310226276162,-0.645685394693452,0.607681275842866,-0.556927974149583,0.620152638842061,-0.591171934579785,0.934591815538014,-0.869051827073148,-0.506738738428641,2.0166922982942
2.651,0.824377840510942,-0.64943927538997,0.610749975264668,-0.560203513479393,0.619841091494792,-0.592442484527661,0.936009424285165,-0.871884232616368,-0.487306523796976,1.9801329831148
2.701,0.826263778031167,-0.652675967349517,0.614757296899466,-0.564277766436837,0.620272929419865,-0.594218283748242,0.936736801239129,-0.873252130225684,-0.469979176002153,1.93973832399644
2.751,0.827471011983515,-0.654484363382504,0.61548073551274,-0.564682582718296,0.620180723646766,-0.594172162866213,0.936554121072503,-0.873282022243853,-0.450665637368953,1.89804496700501
2.801,0.828837923362472,-0.656929625396893,0.621892272033915,-0.57146149031169,0.621279892489833,-0.596822135011137,0.937520110158703,-0.874609682262916,-0.428009217482834,1.86303045613834
2.851,0.829491735207219,-0.659486926358938,0.623805673605017,-0.573661788893426,0.62108343882782,-0.597162975851118,0.937742475517714,-0.875766318507979,-0.418978137908735,1.83626212583724
2.901,0.831222825923693,-0.661075843761683,0.62826854072914,-0.578302866761301,0.621033263058677,-0.597459976153079,0.938234047826539,-0.876528036923823,-0.393888242293597,1.7922739606983
2.951,0.832424684071948,-0.664974048126473,0.631671171037391,-0.581596857839217,0.621311058078772,-0.598495718193392,0.938958448775628,-0.877590072555149,-0.375407966760635,1.75771251040329
3.001,0.833149864446127,-0.667307085930888,0.634725537582596,-0.585277089060107,0.621226216386997,-0.599678922027536,0.939029337297995,-0.879086865736941,-0.366280587644508,1.72612622550084
3.051,0.834030820048428,-0.668120015060741,0.636052357622494,-0.586667984782081,0.621724607479518,-0.600940460330917,0.939695608882206,-0.87953404170459,-0.354440343048966,1.70514974897862
3.101,0.836148269785325,-0.6717467037898,0.640271672017782,-0.590650958582888,0.621639926552482,-0.600874839920284,0.940819940070825,-0.88063948858264,-0.331412635074213,1.66400380878702
3.151,0.83626302344019,-0.673385113443307,0.642645812580842,-0.593406069503458,0.62057383767417,-0.600526726219951,0.941097144826564,-0.882088199661365,-0.320395776950374,1.63362242879045
3.201,0.836999011255705,-0.674560714618977,0.646181493238807,-0.596861601133124,0.621447130344409,-0.602329519797447,0.941143068510132,-0.882247988937056,-0.306104730415469,1.60400485594122
3.251,0.838777197684776,-0.677686180809624,0.647741054059272,-0.598441634649536,0.622448148329179,-0.603907730019341,0.941697055679332,-0.883400005363544,-0.285173414580673,1.57180379101108
3.301,0.839721602584091,-0.67984023186359,0.650745426746298,-0.602008804032452,0.622153937191981,-0.603637706458102,0.942302576442186,-0.884522007815636,-0.27489919518013,1.546813800928
3.351,0.841139010116445,-0.682655983369622,0.652994862556052,-0.603989531421675,0.62229076546925,-0.605061820050628,0.942887260696762,-0.88607796419375,-0.260427772721493,1.52038073045327
3.401,0.841538741120766,-0.683865176815694,0.655903412177177,-0.607161735165552,0.622206661046271,-0.605252214965871,0.943246912420099,-0.886524008994878,-0.248510844031574,1.48883935821359
