"year","proxy","rgdp","rgdpprox","rgdpcpi","gdpd","rgdppc","gapip","gap","cpi","cpif","bank","iprod","ipfood","iptex","ipleat","ipchem","ipmach","ipwood","ipmet","share","m2","m3"
"1845","11.4130641036863","44412","1770.52455246393","25386.9413369714","4.19","2253.5","-4.15085545747777","-1.17400591192259","7.33","92.1","0","65.3578787","68.44202888","57.90217877","55.97993282","86.96447652","58.94089431","68.44569265","77.12344879","9.37",NA,NA
"1846","-1.15791898797974","48020","1987.63360337317","27865.8569500675","4.3","2364","2.07577080807222","1.57865803468452","7.41","96.7","0","75.92651432","101.4889","62.75619926","54.02051479","78.57111211","75.42331392","72.64967025","104.0310909","8",NA,NA
"1847","9.67140945007452","51289","2115.79888403615","30207.8070175439","4.7","2443.9","7.37979669625083","2.91244581575845","7.98","96.7","0","87.36614782","130.1975813","68.81974755","66.36411065","94.98835941","84.25526979","87.87805946","103.7713466","8.1",NA,NA
"1848","-7.08164861126767","53018","2293.71585899381","31741.4954248366","4.58","2442.6","7.16008508230143","0.83438488694681","7.65","92","0","94.88688888","99.81619161","93.3679617","71.08259758","95.56650567","95.97289761","96.17744913","114.8979203","7.81",NA,NA
"1849","0.487642350567463","53755","2273.89036584199","32644.7368421053","4.5","2393","2.64705655393584","-3.29682803266512","7.41","88.9","0","98.33049895","98.7938359","100.7060494","92.65260881","100.0492611","96.03208297","94.21106363","109.1628302","7.82",NA,NA
"1850","-2.09020964655108","56252","2478.92093179738","34107.8837516513","4.59","2418.3","-0.915349986437431","-4.37123033993305","7.57","92.6","0","102.3850296","101.7134095","99.01983922","111.2754315","99.93107527","105.8320263","108.7069548","88.44948297","9.27",NA,NA
"1851","-0.910157934325939","60780","2638.28430901675","36746.8825910931","4.48","2522.5","-4.47879835893545","-2.29940023405967","7.41","99.1","0","106.0488163","114","73","112","126","141","118","83","8.97",NA,NA
"1852","9.46401479536605","67799","2712.5217877834","40914.7503337784","4.52","2712.1","3.72184372893214","2.99565703461289","7.49","98.5","0","122.8400247","132","105","106","118","159","134","108","10.72",NA,NA
"1853","4.41194195125747","73343","2804.11971617722","44162.473965287","4.51","2830.6","10.9719102031047","5.37316138965479","7.49","103.4","0","139.9823567","120","126","111","145","191","137","154","9.37",NA,NA
"1854","16.1289557195853","75875","2708.49714040461","45580.9275184275","4.89","2825.3","7.84850705000792","3.52058620109608","8.14","103.4","0","142.7244231","101","114","113","159","242","143","132","6.55",NA,NA
"1855","3.92262886934309","79039","2792.67319076927","47442.2637231504","5.03","2850.6","3.99350858736104","2.62625445311482","8.38","106.3","0","143.4435007","117","111","128","161","203","171","120","6.65",NA,NA
"1856","-5.99579788591375","82213","3022.51890018167","49207.7810218978","4.92","2885","4.31129397239086","1.84633400748582","8.22","108.5","0","149.4353033","123","126","128","167","202","173","136","6.94",NA,NA
"1857","5.38428188649414","82634","2964.81007977098","49424.1182033097","5.06","2820.5","-1.25094237463001","-2.12787628260156","8.46","109.6","1","146.1714908","116","133","136","167","171","174","133","4.79",NA,NA
"1858","-17.8888535049747","85978","3534.10754237904","51285.1228070175","4.76","2859.5","-10.4759178766908","-2.46265462213575","7.98","109.1","0","137.5410096","154","97","163","169","128","172","129","5.47",NA,NA
"1859","1.27714960823244","92203","3773.6384568961","54909.9751861042","4.8","2995.6","-0.747742240274096","0.381181372464466","8.06","102","0","156.3941253","157","152","170","188","129","185","139","4.89",NA,NA
"1860","-1.79011282359316","93146","3808.93800845212","54431.4714640198","4.71","2955.8","-2.99935037908656","-2.59508456187602","8.06","100","0","157.8597585","158","147","140","190","171","181","138","5.57",NA,NA
"1861","-7.24189682442574","94805","4348.0472133157","54396.3114754098","4.9","2942.9","-7.21364764003483","-4.67788452883956","8.54","95.9","0","156.4734015","230","152","120","190","156","168","116","5.46",NA,NA
"1862","19.0890435900308","106586","4590.66756013357","59906.797948718","5.48","3240.8","-4.02487055379855","3.35162766124577","9.75","102.8","0","167.3493648","265","112","147","198","226","147","157","8.48",NA,NA
"1863","22.2488125565396","114782","4951.61397266654","63285.7206244864","6.71","3415.4","3.53418850578606","7.30697158804157","12.17","122.1","0","187.3091115","259","132","152","215","287","164","162","11.34",NA,NA
"1864","48.3808981930484","116084","4139.4693941139","62729.5679579777","8.23","3376.9","6.56942993093311","5.24494426895862","15.23","149.4","0","200.6096102","216","169","156","229","307","173","180","11.9",NA,NA
"1865","-2.45141242340108","119408","4433.95409312626","63220.4483850538","8.36","3394","-2.7186868343995","5.10041919299135","15.79","190.7","0","190.1149897","204","143","138","217","262","201","198","10.94",NA,NA
"1866","-6.65759217230377","113929","4320.80928810267","59000.2683560754","7.97","3160.1","-4.78878062583878","-2.43532859264012","15.39","160.2","0","193.9063382","229","115","192","261","225","231","220","11.34",NA,NA
"1867","-5.56463207247061","115883","4245.13938991734","58749.610181311","7.27","3134.5","-0.978212227426015","-3.5885398721364","14.34","145.2","0","210.0509235","229","125","236","269","234","259","234","11.61","100","100"
"1868","-0.058157635632583","120403","4146.1830795242","59677.2489114659","6.83","3178.1","-0.235233376320303","-2.7508868063702","13.78","150.7","0","220.9013676","256","145","224","300","237","267","242","12.85","99.21875","101.2658228"
